heap,bptree,hash,sequential,isam,brin,rtree
0.0889,0.2458,0.1831,0.401,0.375,0.319,1.8828
0.0889,0.2348,0.1717,0.38,0.3867,0.278,1.8589
0.0851,0.2522,0.1709,0.391,0.412,0.2711,1.9982
0.0861,0.2377,0.2191,0.4992,0.396,0.2761,1.9619
0.087,0.246,0.1998,0.4828,0.5012,0.3829,1.7688
0.0858,0.2491,0.196,0.458,0.3903,0.299,2.0509
0.0839,0.2348,0.3541,0.4983,0.3657,0.3119,1.359
0.088,0.2489,0.217,0.459,0.3638,0.3021,1.3149
0.088,0.2382,0.2089,0.4561,0.361,0.2718,5.9242
0.0882,0.2401,0.2081,0.4861,0.442,0.2692,1.4107
0.0851,0.2699,0.2007,0.459,0.448,0.2739,2.0089
0.083,0.2391,0.206,0.4847,0.4141,0.313,1.399
0.0851,0.2451,0.2792,0.4189,0.3879,0.2906,4.669
0.0839,0.252,0.2081,0.4029,0.4101,0.2861,1.9438
0.0901,0.4809,0.201,0.4339,0.4249,0.2911,1.857
0.0901,0.3719,0.1991,0.4008,0.397,0.2892,1.8539
0.0839,0.2749,0.211,0.3991,0.387,0.2749,2.099
0.0832,0.3159,0.191,0.4091,0.386,0.2823,1.8802
0.0811,0.2961,0.191,0.411,0.242,0.3409,1.7569
0.087,0.3269,0.2191,0.397,0.3839,0.2792,1.2889
0.0923,0.3631,0.1991,0.4179,0.3948,0.2701,1.7509
0.0799,0.3042,0.237,0.423,0.3929,0.2918,2.2259
0.0882,0.252,0.1891,0.4051,0.526,0.3219,2.249
0.0901,0.247,0.1891,0.4318,0.3221,0.3412,2.2252
0.0908,0.3181,0.1969,0.4222,0.3049,0.3152,1.3659
0.0861,0.2859,0.1998,0.5009,0.381,0.3221,5.0139
0.0849,0.2849,0.1922,0.4649,0.4101,0.2859,2.3272
0.0911,0.273,0.21,0.489,0.3929,0.2711,2.2578
0.0877,0.2701,0.1869,0.4549,0.3769,0.2611,1.6692
0.098,0.2639,0.196,0.4611,0.4652,0.3011,2.2631
0.0896,0.2732,0.2661,0.4659,0.4108,0.293,1.677
0.092,0.2699,0.1948,0.468,0.3793,0.2868,1.6642
0.0789,0.2723,0.1872,0.4842,0.3898,0.2644,2.389
0.082,0.3028,0.1998,0.4828,0.3941,0.2937,1.8971
0.0842,0.2801,0.191,0.4442,0.3841,0.3929,2.1009
0.0918,0.6368,0.2129,0.4332,0.386,0.282,1.9698
0.0901,0.3498,0.1881,104.2399,0.386,0.2871,1.6501
0.0811,0.267,0.181,0.4458,0.3881,0.294,5.3871
0.0892,0.2558,0.1881,0.4182,0.3841,0.2832,1.451
0.0882,0.2501,0.227,0.4051,0.392,0.2728,6.1622
0.087,0.2611,0.1872,0.3967,0.3929,0.2902,1.3952
0.0851,0.2429,0.1831,0.397,0.3941,0.2718,1.6892
0.0861,0.2751,0.1857,0.4172,0.442,0.2692,2.3308
0.0842,0.3064,0.212,0.4108,0.2761,0.2701,6.3093
0.0889,0.3879,0.1862,0.4113,0.4029,0.3359,2.1162
0.1011,0.2801,0.1841,0.3839,0.406,0.267,2.0161
0.0889,0.2518,0.1841,0.396,0.3941,0.263,1.9891
0.107,0.283,0.1869,0.5271,0.416,0.2911,1.4868
0.123,0.3002,0.227,0.4418,0.3867,0.2739,2.0773
0.098,0.283,0.19,0.4039,0.3839,0.2811,1.4868
0.088,0.283,0.1919,0.3793,0.375,0.2639,1.4179
0.0811,0.2871,0.2272,0.3841,0.3798,0.2692,2.0881
0.0927,0.294,0.1998,0.385,0.3903,0.2959,1.9162
0.092,0.278,0.1879,0.3879,0.38,0.268,2.0742
0.0978,0.2658,0.2091,0.3881,0.3769,0.2589,2.1129
0.0911,0.263,0.2539,0.4177,0.3831,0.3147,1.3671
0.0851,0.288,0.2019,0.4013,0.3834,0.294,2.1119
